eepsilon =0.1
psilon=0.75 
Epoch 123/350 | Train NLL: -20.2032 | Test NLL (best arm 32): -20.2304 | Bandit epsilon: 0.7500
Epoch 124/350 | Train NLL: -22.6475 | Test NLL (best arm 32): -21.8044 | Bandit epsilon: 0.7500
Epoch 125/350 | Train NLL: -17.2068 | Test NLL (best arm 32): -20.6613 | Bandit epsilon: 0.7500
Epoch 126/350 | Train NLL: -22.2340 | Test NLL (best arm 32): -22.2263 | Bandit epsilon: 0.7500
Epoch 127/350 | Train NLL: -20.4494 | Test NLL (best arm 32): -20.2574 | Bandit epsilon: 0.7500
Epoch 128/350 | Train NLL: -19.2049 | Test NLL (best arm 32): -21.3677 | Bandit epsilon: 0.7500
Epoch 129/350 | Train NLL: -18.6833 | Test NLL (best arm 32): -20.7886 | Bandit epsilon: 0.7500
Epoch 130/350 | Train NLL: -23.4328 | Test NLL (best arm 32): -23.1835 | Bandit epsilon: 0.7500
Epoch 131/350 | Train NLL: -22.2481 | Test NLL (best arm 32): -22.7018 | Bandit epsilon: 0.7500
Epoch 132/350 | Train NLL: -24.6517 | Test NLL (best arm 32): -24.7565 | Bandit epsilon: 0.7500
Epoch 133/350 | Train NLL: -21.5903 | Test NLL (best arm 32): -22.7763 | Bandit epsilon: 0.7500
Epoch 134/350 | Train NLL: -24.7141 | Test NLL (best arm 32): -23.0222 | Bandit epsilon: 0.7500
Epoch 135/350 | Train NLL: -25.6899 | Test NLL (best arm 32): -23.3121 | Bandit epsilon: 0.7500
Epoch 136/350 | Train NLL: -23.5481 | Test NLL (best arm 32): -25.3011 | Bandit epsilon: 0.7500
Epoch 137/350 | Train NLL: -22.8715 | Test NLL (best arm 32): -21.5395 | Bandit epsilon: 0.7500
Epoch 138/350 | Train NLL: -23.6850 | Test NLL (best arm 32): -22.4866 | Bandit epsilon: 0.7500
Epoch 139/350 | Train NLL: -27.0434 | Test NLL (best arm 32): -26.7159 | Bandit epsilon: 0.7500
Epoch 140/350 | Train NLL: -26.1272 | Test NLL (best arm 32): -25.2298 | Bandit epsilon: 0.7500
Epoch 141/350 | Train NLL: -27.2509 | Test NLL (best arm 32): -26.3719 | Bandit epsilon: 0.7500
Epoch 142/350 | Train NLL: -24.0674 | Test NLL (best arm 32): -22.0510 | Bandit epsilon: 0.7500
Epoch 143/350 | Train NLL: -26.6729 | Test NLL (best arm 32): -21.7609 | Bandit epsilon: 0.7500
Epoch 144/350 | Train NLL: -28.0711 | Test NLL (best arm 32): -27.7300 | Bandit epsilon: 0.7500
Epoch 145/350 | Train NLL: -28.1736 | Test NLL (best arm 32): -28.0556 | Bandit epsilon: 0.7500
Epoch 146/350 | Train NLL: -30.6354 | Test NLL (best arm 32): -29.7827 | Bandit epsilon: 0.7500
Epoch 147/350 | Train NLL: -33.5749 | Test NLL (best arm 32): -31.5840 | Bandit epsilon: 0.7500
Epoch 148/350 | Train NLL: -29.5215 | Test NLL (best arm 32): -30.3563 | Bandit epsilon: 0.7500
Epoch 149/350 | Train NLL: -31.4478 | Test NLL (best arm 32): -31.5262 | Bandit epsilon: 0.7500
Epoch 150/350 | Train NLL: -35.3169 | Test NLL (best arm 32): -33.1150 | Bandit epsilon: 0.7500
Epoch 151/350 | Train NLL: -32.0416 | Test NLL (best arm 32): -32.3114 | Bandit epsilon: 0.7500
Epoch 152/350 | Train NLL: -31.2928 | Test NLL (best arm 32): -32.5789 | Bandit epsilon: 0.7500
Epoch 153/350 | Train NLL: -32.4522 | Test NLL (best arm 32): -32.2240 | Bandit epsilon: 0.7500
Epoch 154/350 | Train NLL: -31.3496 | Test NLL (best arm 32): -19.3797 | Bandit epsilon: 0.7500
Epoch 155/350 | Train NLL: -28.5404 | Test NLL (best arm 32): -24.7402 | Bandit epsilon: 0.7500
Epoch 156/350 | Train NLL: -28.8411 | Test NLL (best arm 32): -25.2094 | Bandit epsilon: 0.7500
Epoch 157/350 | Train NLL: -32.3653 | Test NLL (best arm 32): -32.0910 | Bandit epsilon: 0.7500
Epoch 158/350 | Train NLL: -35.3977 | Test NLL (best arm 32): -34.4385 | Bandit epsilon: 0.7500
Epoch 159/350 | Train NLL: -38.6583 | Test NLL (best arm 32): -36.0524 | Bandit epsilon: 0.7500
Epoch 160/350 | Train NLL: -33.1732 | Test NLL (best arm 32): -33.7691 | Bandit epsilon: 0.7500
Epoch 161/350 | Train NLL: -33.8978 | Test NLL (best arm 32): -32.7869 | Bandit epsilon: 0.7500
Epoch 162/350 | Train NLL: -29.4325 | Test NLL (best arm 32): -31.8524 | Bandit epsilon: 0.7500
Epoch 163/350 | Train NLL: -32.6171 | Test NLL (best arm 32): -32.0919 | Bandit epsilon: 0.7500
Epoch 164/350 | Train NLL: -31.7129 | Test NLL (best arm 32): -33.8200 | Bandit epsilon: 0.7500
Epoch 165/350 | Train NLL: -31.2211 | Test NLL (best arm 32): -31.4901 | Bandit epsilon: 0.7500
Epoch 166/350 | Train NLL: -35.3643 | Test NLL (best arm 32): -33.8595 | Bandit epsilon: 0.7500
Epoch 167/350 | Train NLL: -35.9623 | Test NLL (best arm 32): -33.9185 | Bandit epsilon: 0.7500
Epoch 168/350 | Train NLL: -34.5019 | Test NLL (best arm 32): -21.2016 | Bandit epsilon: 0.7500
Epoch 169/350 | Train NLL: -31.9620 | Test NLL (best arm 32): -29.3683 | Bandit epsilon: 0.7500
Epoch 170/350 | Train NLL: -35.0765 | Test NLL (best arm 32): -34.4865 | Bandit epsilon: 0.7500
Epoch 171/350 | Train NLL: -36.6676 | Test NLL (best arm 32): -35.8714 | Bandit epsilon: 0.7500
Epoch 172/350 | Train NLL: -33.5940 | Test NLL (best arm 32): -34.8911 | Bandit epsilon: 0.7500
Epoch 173/350 | Train NLL: -35.3439 | Test NLL (best arm 32): -33.6099 | Bandit epsilon: 0.7500
Epoch 174/350 | Train NLL: -38.0616 | Test NLL (best arm 32): -35.1172 | Bandit epsilon: 0.7500
Epoch 175/350 | Train NLL: -40.4730 | Test NLL (best arm 32): -38.5438 | Bandit epsilon: 0.7500
Epoch 176/350 | Train NLL: -36.3694 | Test NLL (best arm 32): -36.5877 | Bandit epsilon: 0.7500
Epoch 177/350 | Train NLL: -38.8998 | Test NLL (best arm 32): -37.3138 | Bandit epsilon: 0.7500
Epoch 178/350 | Train NLL: -41.9377 | Test NLL (best arm 32): -39.9296 | Bandit epsilon: 0.7500
Epoch 179/350 | Train NLL: -44.4425 | Test NLL (best arm 32): -40.5808 | Bandit epsilon: 0.7500
Epoch 180/350 | Train NLL: -46.6631 | Test NLL (best arm 32): -42.5204 | Bandit epsilon: 0.7500
Epoch 181/350 | Train NLL: -39.2186 | Test NLL (best arm 32): -40.6170 | Bandit epsilon: 0.7500
Epoch 182/350 | Train NLL: -47.3751 | Test NLL (best arm 32): -43.0029 | Bandit epsilon: 0.7500
Epoch 183/350 | Train NLL: -47.0989 | Test NLL (best arm 32): -43.9503 | Bandit epsilon: 0.7500
Epoch 184/350 | Train NLL: -42.3307 | Test NLL (best arm 32): -41.8395 | Bandit epsilon: 0.7500
Epoch 185/350 | Train NLL: -41.2573 | Test NLL (best arm 32): -41.6923 | Bandit epsilon: 0.7500
